id,name,size,serving_per_bag,calorie,carbohydrate,protein,fat,saturated fat,trans fat,sodium,sugar,含麩質之穀物及其製品,堅果類、種子類及其製品,大豆及其製品,奇異果及其製品,牛奶、羊奶及其製品,甲殼類及其製品(蝦類、蟹類),芒果及其製品,芝麻及其製品,花生及其製品,蛋類及其製品,軟體動物類及其製品(頭足類、螺貝類),魚類及其製品,不含牛肉,不含豬肉,不含禽肉,不含海鮮,不含花生,不含堅果,不含芝麻,不含麩質,不含大豆,不含蛋品,不含牛/羊奶,全素,蛋素,奶素,奶蛋素,植物五辛素
58804,大飯糰泡菜鮪魚,158.0,1,277.0,48.2,7.1,6.2,0.9,0.0,493.0,0.0,1,0,1,0,1,1,0,1,0,1,0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227221,芝麻香鬆飯糰,109.0,1,237.0,39.1,5.8,6.3,0.9,0.0,355.0,3.6,1,0,1,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
322510,鮑菇脆筍飯糰,108.0,1,165.0,32.7,3.7,2.2,0.3,0.0,329.0,1.5,1,0,1,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
396531,大飯糰辣炒豬肉,156.0,1,256.0,48.5,6.6,3.9,0.9,0.0,507.0,2.0,1,0,1,0,0,0,0,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
459125,稻荷壽司,161.0,1,287.0,54.3,8.9,3.9,1.1,0.0,634.0,15.5,1,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
493218,大飯糰韓式炙燒美乃雞,150.0,1,270.0,48.8,8.3,4.7,1.1,0.0,596.0,1.5,1,0,1,0,0,0,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
493236,大飯糰韓式烤牛肉,158.0,1,250.0,46.1,6.6,4.3,1.6,0.0,632.0,1.4,1,0,1,0,1,0,0,0,0,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539583,蔬食鮪魚飯糰,105.0,1,188.0,35.0,4.5,3.4,0.9,0.0,376.0,1.2,1,1,1,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
558422,鹽蔥燒肉飯糰,105.0,1,174.0,30.8,5.7,3.2,0.6,0.0,349.0,0.0,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
567691,香檸松阪豬烤飯糰,94.0,1,204.0,39.1,5.7,2.7,0.8,0.0,327.0,1.2,1,0,1,0,1,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577161,椒麻肉鬆飯糰,103.0,1,234.0,36.8,5.3,7.3,1.3,0.0,218.0,2.7,1,1,1,0,0,0,0,1,0,1,0,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
577216,清酒蒸蛤蜊烤飯糰,99.0,1,166.0,31.6,5.0,2.3,0.5,0.0,401.0,1.1,1,0,1,0,1,0,0,0,0,1,0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577234,柚子胡椒雞肉烤飯糰,103.0,1,191.0,36.3,6.3,2.3,0.5,0.0,341.0,2.1,1,0,1,0,1,0,0,0,0,1,0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611098,壽喜燒牛五花飯糰,110.0,1,209.0,30.4,7.3,6.5,2.3,0.0,316.0,0.8,1,0,1,0,1,0,0,1,0,0,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
612008,鮪魚飯糰,106.0,1,188.0,32.0,5.0,4.3,0.8,0.0,195.0,0.8,1,0,1,0,0,0,0,1,0,1,0,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
612026,明太子龍蝦風味沙拉飯糰,105.0,1,211.0,34.7,4.5,6.0,1.0,0.0,344.0,1.4,0,0,1,0,1,1,0,0,0,1,0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612121,紅鮭飯糰,97.0,1,171.0,33.7,5.2,1.8,0.4,0.0,380.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
612135,鮭魚鮭魚卵飯糰,101.0,1,203.0,32.9,4.8,5.8,1.8,0.0,226.0,10.0,1,0,1,0,1,0,0,0,0,1,0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613018,經典肉鬆飯糰,107.0,1,239.0,41.4,5.6,5.7,1.4,0.0,294.0,2.9,1,1,1,0,0,0,0,1,0,1,0,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
615010,雞肉飯飯糰,106.0,1,186.0,33.0,5.4,3.5,1.1,0.0,326.0,0.5,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
652038,大口法式奶油起司雞排飯糰,239.0,1,500.0,56.6,14.1,24.1,5.5,0.0,851.0,1.7,1,0,1,0,1,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652101,大口義式香草烤雞飯糰,242.0,1,414.0,51.3,16.5,16.0,3.6,0.0,973.0,3.1,1,0,1,0,1,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653216,大口宮保雞丁飯糰,238.0,1,395.0,61.6,12.1,11.2,2.1,0.0,526.0,5.7,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
710890,肉鬆細卷,93.0,1,229.0,33.8,5.1,8.2,1.7,0.0,297.0,1.8,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
710909,鮪魚細卷,90.0,1,176.0,30.2,3.8,4.5,0.9,0.0,267.0,3.6,0,0,1,0,0,0,0,1,0,1,0,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23417,台式芋頭鹹粥,500.0,1,395.0,50.4,14.5,15.0,4.4,0.0,975.0,2.0,1,0,1,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
156973,沙茶豬肉炒麵,324.0,1,486.0,65.1,21.7,15.6,3.2,0.0,1128.0,3.9,1,1,1,0,0,1,0,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
171018,生滾皮蛋煲粥,500.0,1,280.0,33.5,14.0,10.0,2.0,0.0,1505.0,1.0,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
243194,烤蔬菜蕃茄筆尖麵,355.0,1,451.0,78.5,16.7,7.8,1.8,0.0,1012.0,10.7,1,0,1,0,1,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
243203,清炒海鮮義大利麵,321.0,1,427.0,63.2,23.8,8.7,1.6,0.0,1056.0,0.0,1,0,1,0,0,1,0,0,1,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
247516,優質池上飯,170.0,1,291.0,63.9,4.3,2.0,0.5,0.0,14.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
256917,金咖哩甘口咖哩飯,523.0,1,659.0,118.2,16.2,13.6,4.7,0.0,1867.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
256985,金咖哩濃辛咖哩飯,525.0,1,709.0,114.5,17.9,20.0,6.3,0.0,1087.0,7.4,1,0,1,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
312286,沙茶豬肉燴飯,499.0,1,709.0,91.3,23.5,27.4,5.5,0.0,1118.0,2.5,1,1,1,0,0,1,0,1,0,1,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
327233,鐵板滑蛋炸豬排丼,468.0,1,693.0,112.3,24.3,16.4,3.7,0.0,1268.0,13.1,1,0,1,0,1,0,0,1,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372674,健身Ｇ肉餐盒,381.0,1,450.0,67.8,27.8,7.6,2.7,0.0,438.0,5.7,1,0,1,0,1,0,0,0,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383445,台式麻醬涼麵,293.0,1,489.0,58.3,13.8,22.3,3.2,0.0,718.0,6.2,1,0,1,0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
383459,大滿足麻醬涼麵,414.0,1,696.0,85.3,19.5,30.6,4.6,0.0,1076.0,9.1,1,0,1,0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
383463,大滿足香辣涼麵,417.0,1,692.0,83.4,19.2,31.3,5.0,0.0,959.0,5.0,1,0,1,0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
383477,日式蕎麥沾麵,251.0,1,339.0,64.0,13.3,3.3,1.0,0.0,944.0,8.3,1,0,1,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
383481,胡麻讚岐烏龍冷麵,247.0,1,361.0,60.3,7.2,10.1,2.2,0.0,598.0,5.4,1,0,1,0,0,0,0,1,0,1,0,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
383495,椒麻香蔥涼拌麵,224.0,1,457.0,56.4,13.7,19.7,3.1,0.0,977.0,5.8,1,0,1,0,0,0,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
395494,獵人雞肉丸子茄汁鉛筆麵,346.0,1,675.0,69.9,29.4,30.8,13.8,0.0,1592.0,5.2,1,0,1,0,1,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399193,日式豬排佐咖哩歐姆蛋燴飯,491.0,1,771.0,101.6,31.4,26.5,5.4,0.0,1463.0,3.9,1,0,1,0,1,0,0,1,1,1,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399393,香草雞排佐白醬歐姆蛋燴飯,476.0,1,695.0,88.1,30.0,24.8,5.2,0.0,1795.0,2.9,1,0,1,0,1,0,0,0,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399402,炙烤親子丼,488.0,1,722.0,106.4,26.8,21.0,3.9,0.0,1488.0,9.8,1,0,1,0,1,0,0,1,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426594,鮮筍雞茸粥,500.0,1,312.0,41.5,9.5,12.0,2.0,0.0,1675.0,3.5,1,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
426908,炭香燒豚飯,351.0,1,534.0,76.5,15.4,18.3,7.4,0.0,849.0,8.1,1,0,1,0,1,1,0,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448045,蕃茄鮪魚冷義大利麵,304.0,1,301.0,45.9,14.3,6.7,2.1,0.0,821.0,7.3,1,0,1,0,1,0,0,0,0,1,0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448059,羅勒海鮮冷義大利麵,246.0,1,312.0,41.8,12.8,10.3,2.2,0.0,645.0,7.4,1,0,1,0,1,1,0,0,1,0,0,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448063,明太子鮭魚冷義大利麵,256.0,1,348.0,44.5,13.6,12.8,3.1,0.0,765.0,1.5,1,0,1,0,1,1,0,0,0,1,0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448077,日式蔥鹽雞肉冷麵,311.0,1,435.0,70.9,15.2,10.0,1.9,0.0,1185.0,3.4,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
477731,皮蛋辣拌麵,341.0,1,621.0,73.3,22.5,26.3,6.1,0.0,1163.0,6.5,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
496193,黑纖雞肉粥,500.0,1,291.0,29.5,15.0,12.5,2.5,0.0,870.0,3.0,1,0,1,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
496220,海之味漁夫飯,327.0,1,425.0,84.4,13.4,3.6,1.3,0.0,1086.0,4.3,1,0,1,0,1,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496248,糖燻野郎熟成牛飯,333.0,1,656.0,97.2,14.7,23.0,7.7,0.0,1152.0,13.0,1,0,1,0,1,0,0,1,0,1,0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496284,壹號醬鹽蔥雞豚飯,343.0,1,621.0,96.0,20.9,16.8,5.5,0.0,1142.0,7.9,1,0,1,0,1,0,0,1,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502762,嘉義劉里長雞肉飯,354.0,1,563.0,93.8,19.5,12.0,2.8,0.0,789.0,2.5,1,0,1,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
505247,嘉義劉里長剝皮瓜仔雞飯,391.0,1,497.0,95.0,17.2,5.5,1.6,0.0,989.0,5.9,1,0,1,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
910537,香滑嫩蛋牛肉燴飯,470.0,1,479.0,71.9,19.3,12.7,4.7,0.5,1119.0,2.8,1,0,1,0,1,0,0,1,0,1,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910569,四川風味麻婆豆腐燴飯,464.0,1,710.0,102.1,30.2,20.0,3.2,0.0,1151.0,4.6,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1220214,炸醬炒泡麵,318.0,1,773.0,89.0,17.2,38.8,11.6,0.0,1472.0,7.0,1,0,1,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1240181,海鮮明太子風奶香義大利麵,328.0,1,466.0,63.6,22.6,13.4,3.6,0.0,987.0,3.0,1,0,1,0,1,1,0,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517741,藍莓優格三明治,59.0,1,142.0,23.4,4.1,3.6,1.8,0.0,200.0,3.3,1,0,1,0,1,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536571,水果派對三明治,94.0,1,165.0,26.6,3.9,4.8,2.8,0.0,200.0,8.9,1,0,1,0,1,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
544762,彩蔬洋芋三明治,123.0,1,234.0,30.3,5.8,10.0,1.8,0.0,344.0,6.4,1,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
554650,香雞蛋堡,116.0,1,254.0,28.1,11.9,10.4,2.4,0.0,583.0,2.7,1,0,1,0,1,0,0,0,0,1,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90331,青檸烤雞握沙拉,136.0,1,228.0,26.7,9.8,9.2,1.5,0.0,598.0,4.6,1,0,1,0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
148605,青醬優格雞肉握沙拉,133.0,1,267.0,26.6,11.3,12.9,2.3,0.0,599.0,5.7,1,0,1,0,1,0,0,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
